-999	WindowSize
-999	OverlapSize
131178	NumberOfSNPs
480	NumberOfIndividuals
SET#	OFFSET	SET_ID	SET_SIZE
2293	1690082	C18E3.5	14
2294	1691903	C18E3.6	8
2295	1692944	C18E3.7	4
2296	1693465	C18E3.8	3
2297	1693856	C18E3.9	3
2298	1694247	C18E9.1	1
2299	1694378	C18E9.10	23
2300	1697369	C18E9.11	7
2301	1698280	C18E9.12	1
2302	1698411	C18E9.13	1
2303	1698542	C18E9.14	1
2304	1698673	C18E9.2	4
2305	1699194	C18E9.3	7
2306	1700105	C18E9.4	2
2307	1700366	C18E9.5	3
2308	1700757	C18E9.6	4
2309	1701278	C18E9.7	5
2310	1701929	C18E9.8	3
2311	1702320	C18F10.2	4
2312	1702841	C18F10.4	2
2313	1703102	C18F10.5	3
2314	1703493	C18F10.6	3
2315	1703884	C18F10.7	6
2316	1704665	C18F10.8	3
2317	1705056	C18F10.9	8
2318	1706097	C18F3.2	33
2319	1710388	C18F3.4	6
2320	1711169	C18F3.8	1
2321	1711300	C18F3.9	1
2322	1711431	C18G1.1	1
2323	1711562	C18G1.2	3
2324	1711953	C18G1.3	10
2325	1713254	C18G1.4	6
2326	1714035	C18G1.5	1
2327	1714166	C18G1.6	8
2328	1715207	C18G1.7	7
2329	1716118	C18G1.8	8
2330	1717159	C18G1.9	5
2331	1717810	C18H2.1	14
2332	1719631	C18H2.2	1
2333	1719762	C18H2.3	5
2334	1720413	C18H2.4	14
2335	1722234	C18H2.5	13
2336	1723925	C18H7.1	15
2337	1725876	C18H7.10	4
2338	1726397	C18H7.11	7
2339	1727308	C18H7.12	2
2340	1727569	C18H7.13	2
2341	1727830	C18H7.15	1
2342	1727961	C18H7.2	19
2343	1730432	C18H7.3	4
2344	1730953	C18H7.4	6
2345	1731734	C18H7.5	2
2346	1731995	C18H7.6	6
2347	1732776	C18H7.7	2
2348	1733037	C18H7.8	7
2349	1733948	C18H7.9	1
2350	1734079	C18H9.1	3
2351	1734470	C18H9.11	1
2352	1734601	C18H9.2	2
2353	1734862	C18H9.3	9
2354	1736033	C18H9.5	3
2355	1736424	C18H9.6	2
2356	1736685	C18H9.7	8
2357	1737726	C18H9.8	7
2358	1738637	C23F12.1	66
2359	1747218	C23F12.3	3
2360	1747609	C23F12.4	4
2361	1748130	C23G10.1	12
2362	1749691	C23G10.10	1
2363	1749822	C23G10.11	1
2364	1749953	C23G10.2	3
2365	1750344	C23G10.3	2
2366	1750605	C23G10.4	6
2367	1751386	C23G10.5	1
2368	1751517	C23G10.6	5
2369	1752168	C23G10.7	4
2370	1752689	C23G10.8	5
2371	1753340	C23H3.1	1
2372	1753471	C23H3.10	1
2373	1753602	C23H3.2	4
2374	1754123	C23H3.3	4
2375	1754644	C23H3.4	12
2376	1756205	C23H3.5	8
2377	1757246	C23H3.7	3
2378	1757637	C23H3.9	13
2379	1759328	C23H4.1	26
2380	1762709	C23H4.10	1
2381	1762840	C23H4.2	7
2382	1763751	C23H4.3	6
2383	1764532	C23H4.4	4
2384	1765053	C23H4.6	9
2385	1766224	C23H4.7	7
2386	1767135	C23H4.8	7
2387	1768046	C23H5.1	4
2388	1768567	C23H5.10	2
2389	1768828	C23H5.11	12
2390	1770389	C23H5.12	1
2391	1770520	C23H5.13	1
2392	1770651	C23H5.2	7
2393	1771562	C23H5.3	2
2394	1771823	C23H5.7	18
2395	1774164	C23H5.8	6
2396	1774945	C23H5.9	6
2397	1775726	C24A1.1	3
2398	1776117	C24A1.2	36
2399	1780798	C24A1.3	10
2400	1782099	C24A1.5	1
2401	1782230	C24A11.13	2
2402	1782491	C24A11.2	4
2403	1783012	C24A11.6	1
2404	1783143	C24A11.8	11
2405	1784574	C24A11.9	5
2406	1785225	C24A3.1	6
2407	1786006	C24A3.10	1
2408	1786137	C24A3.2	4
2409	1786658	C24A3.4	4
2410	1787179	C24A3.6	7
2411	1788090	C24A3.9	2
2412	1788351	C24A8.1	5
2413	1789002	C24A8.3	18
2414	1791343	C24A8.7	1
2415	1791474	C24B5.1	12
2416	1793035	C24B5.2	4
2417	1793556	C24B5.3	5
2418	1794207	C24B5.4	5
2419	1794858	C24B5.5	3
2420	1795249	C24B9.1	1
2421	1795380	C24B9.10	7
2422	1796291	C24B9.11	2
2423	1796552	C24B9.12	10
2424	1797853	C24B9.14	4
2425	1798374	C24B9.15	1
2426	1798505	C24B9.16	3
2427	1798896	C24B9.2	4
2428	1799417	C24B9.3	20
2429	1802018	C24B9.4	13
2430	1803709	C24B9.5	5
2431	1804360	C24B9.6	3
2432	1804751	C24B9.7	5
2433	1805402	C24B9.8	2
2434	1805663	C24D10.1	8
2435	1806704	C24D10.2	1
2436	1806835	C24D10.4	2
2437	1807096	C24D10.6	3
2438	1807487	C24D10.9	1
2439	1807618	C24F3.1	3
2440	1808009	C24F3.2	1
2441	1808140	C24F3.3	5
2442	1808791	C24F3.4	7
2443	1809702	C24F3.5	16
2444	1811783	C24F3.6	4
2445	1812304	C24F3.7	2
2446	1812565	C24G6.1	5
2447	1813216	C24G6.10	1
2448	1813347	C24G6.11	1
2449	1813478	C24G6.2	13
2450	1815169	C24G6.3	10
2451	1816470	C24G6.4	8
2452	1817511	C24G6.6	12
2453	1819072	C24G6.7	10
2454	1820373	C24G6.8	3
2455	1820764	C24G7.1	3
2456	1821155	C24G7.2	11
2457	1822586	C24G7.4	7
2458	1823497	C24H10.1	2
2459	1823758	C24H10.2	6
2460	1824539	C24H10.3	2
2461	1824800	C24H10.5	14
2462	1826621	C24H11.2	1
2463	1826752	C24H11.3	4
2464	1827273	C24H11.4	4
2465	1827794	C24H11.6	4
2466	1828315	C24H11.7	34
2467	1832736	C24H11.8	12
2468	1834297	C24H12.1	8
2469	1835338	C24H12.10	2
2470	1835599	C24H12.11	2
2471	1835860	C24H12.12	5
2472	1836511	C24H12.2	7
2473	1837422	C24H12.4	5
2474	1838073	C24H12.5	11
2475	1839504	C24H12.6	3
2476	1839895	C24H12.7	5
2477	1840546	C24H12.8	1
2478	1840677	C25A1.1	3
2479	1841068	C25A1.10	5
2480	1841719	C25A1.11	7
2481	1842630	C25A1.12	7
2482	1843541	C25A1.13	1
2483	1843672	C25A1.15	1
2484	1843803	C25A1.16	1
2485	1843934	C25A1.2	2
2486	1844195	C25A1.3	3
2487	1844586	C25A1.4	4
2488	1845107	C25A1.5	5
2489	1845758	C25A1.7	12
2490	1847319	C25A1.8	2
2491	1847580	C25A1.9	4
2492	1848101	C25A11.1	6
2493	1848882	C25A11.2	8
2494	1849923	C25A11.4	32
2495	1854084	C25A11.9	1
2496	1854215	C25A6.1	7
2497	1855126	C25A8.2	2
2498	1855387	C25A8.4	16
2499	1857468	C25A8.5	9
2500	1858639	C25B8.1	14
2501	1860460	C25B8.10	1
2502	1860591	C25B8.3	8
2503	1861632	C25B8.4	7
2504	1862543	C25B8.5	5
2505	1863194	C25B8.6	7
2506	1864105	C25B8.7	11
2507	1865536	C25B8.8	8
2508	1866577	C25D7.1	1
2509	1866708	C25D7.10	2
2510	1866969	C25D7.12	1
2511	1867100	C25D7.15	1
2512	1867231	C25D7.16	2
2513	1867492	C25D7.3	28
2514	1871133	C25D7.4	3
2515	1871524	C25D7.5	3
2516	1871915	C25D7.6	9
2517	1873086	C25D7.7	6
2518	1873867	C25D7.8	4
2519	1874388	C25E10.1	3
2520	1874779	C25E10.10	2
2521	1875040	C25E10.11	2
2522	1875301	C25E10.12	6
2523	1876082	C25E10.13	4
2524	1876603	C25E10.16	1
2525	1876734	C25E10.2	2
2526	1876995	C25E10.3	10
2527	1878296	C25E10.4	9
2528	1879467	C25E10.5	1
2529	1879598	C25E10.7	2
2530	1879859	C25E10.9	1
2531	1879990	C25F6.1	6
2532	1880771	C25F6.11	1
2533	1880902	C25F6.17	1
2534	1881033	C25F6.2	18
2535	1883374	C25F6.22	1
2536	1883505	C25F6.25	1
2537	1883636	C25F6.26	3
2538	1884027	C25F6.28	1
2539	1884158	C25F6.29	1
2540	1884289	C25F6.3	17
2541	1886500	C25F6.4	12
2542	1888061	C25F6.6	3
2543	1888452	C25F6.7	10
2544	1889753	C25F6.8	4
2545	1890274	C25F6.t3	1
2546	1890405	C25F6.t4	1
2547	1890536	C25F9.1	3
2548	1890927	C25F9.10	6
2549	1891708	C25F9.11	1
2550	1891839	C25F9.12	3
2551	1892230	C25F9.13	1
2552	1892361	C25F9.14	1
2553	1892492	C25F9.15	1
2554	1892623	C25F9.17	1
2555	1892754	C25F9.2	14
2556	1894575	C25F9.4	8
2557	1895616	C25F9.5	7
2558	1896527	C25F9.6	8
2559	1897568	C25F9.7	1
2560	1897699	C25F9.8	4
2561	1898220	C25F9.9	6
2562	1899001	C25G4.1	15
2563	1900952	C25G4.10	7
2564	1901863	C25G4.2	1
2565	1901994	C25G4.3	4
2566	1902515	C25G4.4	7
2567	1903426	C25G4.5	19
2568	1905897	C25G4.6	1
2569	1906028	C25G4.7	5
2570	1906679	C25G4.8	2
2571	1906940	C25G6.1	3
2572	1907331	C25G6.2	6
2573	1908112	C25G6.3	10
2574	1909413	C25G6.4	3
2575	1909804	C25G6.5	6
2576	1910585	C25H3.1	5
2577	1911236	C25H3.10	3
2578	1911627	C25H3.11	5
2579	1912278	C25H3.12	3
2580	1912669	C25H3.15	1
2581	1912800	C25H3.16	1
2582	1912931	C25H3.3	4
2583	1913452	C25H3.4	4
2584	1913973	C25H3.5	4
2585	1914494	C25H3.6	12
2586	1916055	C25H3.7	6
2587	1916836	C25H3.8	22
2588	1919697	C26B2.1	3
2589	1920088	C26B2.13	2
2590	1920349	C26B2.2	2
2591	1920610	C26B2.3	13
2592	1922301	C26B2.4	1
2593	1922432	C26B2.5	3
2594	1922823	C26B2.6	2
2595	1923084	C26B2.7	1
2596	1923215	C26B2.8	4
2597	1923736	C26B9.1	6
2598	1924517	C26B9.2	1
2599	1924648	C26B9.3	6
2600	1925429	C26B9.5	9
2601	1926600	C26B9.6	5
2602	1927251	C26B9.7	1
2603	1927382	C26B9.9	1
2604	1927513	C26C6.1	12
2605	1929074	C26C6.10	1
2606	1929205	C26C6.2	6
2607	1929986	C26C6.3	6
2608	1930767	C26C6.4	11
2609	1932198	C26C6.5	10
2610	1933499	C26C6.6	1
2611	1933630	C26C6.7	8
2612	1934671	C26C6.8	4
2613	1935192	C26C6.9	1
2614	1935323	C26D10.1	5
2615	1935974	C26D10.2	5
2616	1936625	C26D10.3	2
2617	1936886	C26D10.4	9
2618	1938057	C26D10.5	8
2619	1939098	C26D10.6	4
2620	1939619	C26D10.7	5
2621	1940270	C26D10.8	1
2622	1940401	C26E1.1	3
2623	1940792	C26E1.2	7
2624	1941703	C26E1.3	7
2625	1942614	C26E1.4	1
2626	1942745	C26E1.6	2
2627	1943006	C26E1.7	1
2628	1943137	C26E6.1	1
2629	1943268	C26E6.11	3
2630	1943659	C26E6.12	3
2631	1944050	C26E6.15	1
2632	1944181	C26E6.2	5
2633	1944832	C26E6.3	3
2634	1945223	C26E6.4	8
2635	1946264	C26E6.5	7
2636	1947175	C26E6.7	5
2637	1947826	C26E6.8	2
2638	1948087	C26E6.9	16
2639	1950168	C26F1.1	3
2640	1950559	C26F1.10	2
2641	1950820	C26F1.12	1
2642	1950951	C26F1.2	8
2643	1951992	C26F1.3	6
2644	1952773	C26F1.4	4
2645	1953294	C26F1.5	5
2646	1953945	C26F1.6	5
2647	1954596	C26F1.7	8
2648	1955637	C26F1.9	1
2649	1955768	C26G2.1	15
2650	1957719	C26G2.10	1
2651	1957850	C26G2.2	14
2652	1959671	C26G2.3	1
2653	1959802	C26G2.t1	1
2654	1959933	C26H9A.1	13
2655	1961624	C26H9A.2	44
2656	1967345	C27A12.10	1
2657	1967476	C27A12.13	1
2658	1967607	C27A12.2	6
2659	1968388	C27A12.3	4
2660	1968909	C27A12.4	6
2661	1969690	C27A12.5	5
2662	1970341	C27A12.6	5
2663	1970992	C27A12.7	4
2664	1971513	C27A12.8	3
2665	1971904	C27A12.9	7
2666	1972815	C27A2.1	8
2667	1973856	C27A2.12	2
2668	1974117	C27A2.2	4
2669	1974638	C27A2.3	1
2670	1974769	C27A2.4	3
2671	1975160	C27A2.5	1
2672	1975291	C27A2.6	7
2673	1976202	C27A2.7	2
2674	1976463	C27A2.8	2
2675	1976724	C27A7.1	11
2676	1978155	C27A7.2	3
2677	1978546	C27A7.3	8
2678	1979587	C27A7.4	14
2679	1981408	C27A7.5	6
2680	1982189	C27A7.6	3
2681	1982580	C27A7.7	4
2682	1983101	C27A7.8	3
2683	1983492	C27A7.9	3
2684	1983883	C27B7.1	3
2685	1984274	C27B7.2	3
2686	1984665	C27B7.4	8
2687	1985706	C27B7.5	5
2688	1986357	C27B7.6	4
2689	1986878	C27B7.7	12
2690	1988439	C27B7.8	7
2691	1989350	C27B7.9	1
2692	1989481	C27C12.1	4
2693	1990002	C27C12.2	10
2694	1991303	C27C12.3	6
2695	1992084	C27C12.4	6
2696	1992865	C27C12.5	9
2697	1994036	C27C12.6	7
2698	1994947	C27C12.7	12
2699	1996508	C27C7.1	4
2700	1997029	C27C7.10	2
2701	1997290	C27C7.3	5
2702	1997941	C27C7.4	1
2703	1998072	C27C7.5	6
2704	1998853	C27C7.7	6
2705	1999634	C27D11.1	10
2706	2000935	C27D6.1	16
2707	2003016	C27D6.10	1
2708	2003147	C27D6.11	2
2709	2003408	C27D6.12	1
2710	2003539	C27D6.3	2
2711	2003800	C27D6.4	21
2712	2006531	C27D6.8	2
2713	2006792	C27D6.9	1
2714	2006923	C27D8.1	4
2715	2007444	C27D8.2	2
2716	2007705	C27D8.3	12
2717	2009266	C27D8.4	3
2718	2009657	C27D9.1	7
2719	2010568	C27F2.1	17
2720	2012779	C27F2.10	6
2721	2013560	C27F2.12	1
2722	2013691	C27F2.2	25
2723	2016942	C27F2.4	2
2724	2017203	C27F2.5	1
2725	2017334	C27F2.7	9
2726	2018505	C27F2.8	12
2727	2020066	C27F2.9	3
2728	2020457	C27H2.2	20
2729	2023058	C27H2.48	1
2730	2023189	C27H2.51	1
2731	2023320	C27H2.68	1
2732	2023451	C27H5.1	4
2733	2023972	C27H5.2	16
2734	2026053	C27H5.3	12
2735	2027614	C27H5.4	4
2736	2028135	C27H5.5	6
2737	2028916	C27H5.6	3
2738	2029307	C27H5.7	4
2739	2029828	C27H5.8	5
2740	2030479	C27H6.1	20
2741	2033080	C27H6.2	6
2742	2033861	C27H6.3	6
2743	2034642	C27H6.4	6
2744	2035423	C27H6.8	2
2745	2035684	C27H6.9	1
2746	2035815	C28A5.1	4
2747	2036336	C28A5.3	4
2748	2036857	C28A5.4	9
2749	2038028	C28A5.6	9
2750	2039199	C28A5.7	1
2751	2039330	C28A5.8	1
2752	2039461	C28C12.1	3
2753	2039852	C28C12.10	8
2754	2040893	C28C12.11	2
2755	2041154	C28C12.12	2
2756	2041415	C28C12.13	3
2757	2041806	C28C12.2	1
2758	2041937	C28C12.3	2
2759	2042198	C28C12.4	1
2760	2042329	C28C12.5	4
2761	2042850	C28C12.7	6
2762	2043631	C28C12.8	1
2763	2043762	C28C12.9	1
2764	2043893	C28D4.1	3
2765	2044284	C28D4.10	1
2766	2044415	C28D4.2	8
2767	2045456	C28D4.3	6
2768	2046237	C28D4.4	6
2769	2047018	C28D4.5	4
2770	2047539	C28D4.7	2
2771	2047800	C28D4.8	5
2772	2048451	C28D4.9	6
2773	2049232	C28F5.1	1
2774	2049363	C28F5.2	14
2775	2051184	C28F5.4	15
2776	2053135	C28G1.1	7
2777	2054046	C28G1.3	8
2778	2055087	C28G1.4	10
2779	2056388	C28G1.6	7
2780	2057299	C28G1.t3	1
2781	2057430	C28H8.11	3
2782	2057821	C28H8.12	6
2783	2058602	C28H8.2	4
2784	2059123	C28H8.3	13
2785	2060814	C28H8.4	1
2786	2060945	C28H8.5	6
2787	2061726	C28H8.6	5
2788	2062377	C28H8.7	6
2789	2063158	C28H8.8	3
2790	2063549	C28H8.9	1
2791	2063680	C29A12.1	1
2792	2063811	C29A12.11	2
2793	2064072	C29A12.16	1
2794	2064203	C29A12.19	2
2795	2064464	C29A12.21	1
2796	2064595	C29A12.3	5
2797	2065246	C29A12.4	39
2798	2070317	C29A12.6	8
2799	2071358	C29A12.9	1
2800	2071489	C29E4.1	2
2801	2071750	C29E4.10	7
2802	2072661	C29E4.12	2
2803	2072922	C29E4.13	5
2804	2073573	C29E4.14	3
2805	2073964	C29E4.15	8
2806	2075005	C29E4.17	2
2807	2075266	C29E4.2	5
2808	2075917	C29E4.3	7
2809	2076828	C29E4.4	10
2810	2078129	C29E4.5	17
2811	2080340	C29E4.7	3
2812	2080731	C29E4.8	2
2813	2080992	C29E6.1	10
2814	2082293	C29E6.13	1
2815	2082424	C29E6.14	2
2816	2082685	C29E6.2	26
2817	2086066	C29E6.3	3
2818	2086457	C29E6.4	15
2819	2088408	C29E6.5	10
2820	2089709	C29F3.1	6
2821	2090490	C29F3.2	5
2822	2091141	C29F3.3	1
2823	2091272	C29F3.4	3
2824	2091663	C29F3.5	2
2825	2091924	C29F3.7	1
2826	2092055	C29F4.1	2
2827	2092316	C29F4.2	6
2828	2093097	C29F4.3	3
2829	2093488	C29F4.t1	1
2830	2093619	C29F5.1	5
2831	2094270	C29F5.2	3
2832	2094661	C29F5.3	4
2833	2095182	C29F5.4	5
2834	2095833	C29F5.5	1
2835	2095964	C29F5.7	4
2836	2096485	C29F7.1	6
2837	2097266	C29F7.10	5
2838	2097917	C29F7.2	7
2839	2098828	C29F7.3	7
2840	2099739	C29F7.4	1
2841	2099870	C29F7.5	4
2842	2100391	C29F7.6	6
2843	2101172	C29F7.7	1
2844	2101303	C29F7.t1	2
2845	2101564	C29F9.1	3
2846	2101955	C29F9.11	1
2847	2102086	C29F9.2	8
2848	2103127	C29F9.3	4
2849	2103648	C29F9.4	13
2850	2105339	C29F9.5	5
2851	2105990	C29F9.6	6
2852	2106771	C29F9.7	14
2853	2108592	C29F9.8	4
2854	2109113	C29G2.1	2
2855	2109374	C29G2.2	1
2856	2109505	C29G2.3	5
2857	2110156	C29G2.4	4
2858	2110677	C29G2.5	4
2859	2111198	C29G2.6	5
2860	2111849	C29H12.1	5
2861	2112500	C29H12.12	1
2862	2112631	C29H12.13	1
2863	2112762	C29H12.2	3
2864	2113153	C29H12.3	22
2865	2116014	C29H12.5	10
2866	2117315	C29H12.6	7
2867	2118226	C29H12.8	2
2868	2118487	C30A5.10	10
2869	2119788	C30A5.16	1
2870	2119919	C30A5.2	3
2871	2120310	C30A5.3	4
2872	2120831	C30A5.4	1
2873	2120962	C30A5.7	4
2874	2121483	C30B5.1	8
2875	2122524	C30B5.10	1
2876	2122655	C30B5.12	1
2877	2122786	C30B5.2	3
2878	2123177	C30B5.3	4
2879	2123698	C30B5.4	2
2880	2123959	C30B5.5	11
2881	2125390	C30B5.6	4
2882	2125911	C30B5.7	4
2883	2126432	C30B5.9	1
2884	2126563	C30C11.10	1
2885	2126694	C30C11.12	1
2886	2126825	C30C11.2	3
2887	2127216	C30C11.4	8
2888	2128257	C30C11.5	2
2889	2128518	C30D11.1	56
2890	2135799	C30E1.2	1
2891	2135930	C30E1.3	3
2892	2136321	C30E1.4	7
2893	2137232	C30E1.5	1
2894	2137363	C30E1.7	3
2895	2137754	C30E1.8	3
2896	2138145	C30E1.9	3
2897	2138536	C30F12.1	11
2898	2139967	C30F12.2	2
2899	2140228	C30F12.3	2
2900	2140489	C30F12.4	3
2901	2140880	C30F12.5	11
2902	2142311	C30F12.6	7
2903	2143222	C30F12.7	4
2904	2143743	C30F12.8	1
2905	2143874	C30F2.1	11
2906	2145305	C30F2.2	17
2907	2147516	C30F2.3	4
2908	2148037	C30F2.4	1
2909	2148168	C30F2.5	5
2910	2148819	C30F8.2	2
2911	2149080	C30F8.3	9
2912	2150251	C30F8.4	18
2913	2152592	C30G12.1	4
2914	2153113	C30G12.2	3
2915	2153504	C30G12.3	1
2916	2153635	C30G12.4	5
2917	2154286	C30G12.6	11
2918	2155717	C30G12.7	2
2919	2155978	C30G4.2	4
2920	2156499	C30G4.3	16
2921	2158580	C30G4.4	23
2922	2161571	C30G4.5	3
2923	2161962	C30G4.6	19
2924	2164433	C30G4.7	9
2925	2165604	C30G7.1	7
2926	2166515	C30G7.2	1
2927	2166646	C30G7.3	6
2928	2167427	C30G7.5	5
2929	2168078	C30H6.1	16
2930	2170159	C30H6.10	4
2931	2170680	C30H6.12	4
2932	2171201	C30H6.19	1
2933	2171332	C30H6.2	2
2934	2171593	C30H6.3	3
2935	2171984	C30H6.4	4
2936	2172505	C30H6.5	6
2937	2173286	C30H6.6	6
2938	2174067	C30H6.7	5
2939	2174718	C30H6.8	4
2940	2175239	C30H6.9	2
2941	2175500	C30H7.2	7
2942	2176411	C31A11.1	1
2943	2176542	C31A11.10	1
2944	2176673	C31A11.3	1
2945	2176804	C31A11.4	3
2946	2177195	C31A11.5	12
2947	2178756	C31A11.6	6
2948	2179537	C31A11.7	9
2949	2180708	C31B8.1	3
2950	2181099	C31B8.11	6
2951	2181880	C31B8.12	13
2952	2183571	C31B8.13	2
2953	2183832	C31B8.2	3
2954	2184223	C31B8.4	1
2955	2184354	C31B8.6	1
2956	2184485	C31B8.7	7
2957	2185396	C31B8.8	12
2958	2186957	C31B8.9	3
2959	2187348	C31C9.1	5
2960	2187999	C31C9.2	4
2961	2188520	C31C9.3	7
2962	2189431	C31C9.4	5
2963	2190082	C31C9.6	13
2964	2191773	C31C9.7	1
2965	2191904	C31C9.8	13
2966	2193595	C31E10.1	2
2967	2193856	C31E10.3	2
2968	2194117	C31E10.4	3
2969	2194508	C31E10.5	9
2970	2195679	C31E10.6	9
2971	2196850	C31E10.7	4
2972	2197371	C31E10.8	20
2973	2199972	C31G12.1	3
2974	2200363	C31G12.2	2
2975	2200624	C31G12.4	4
2976	2201145	C31G12.5	1
2977	2201276	C31H1.1	3
2978	2201667	C31H1.2	2
2979	2201928	C31H1.23	1
2980	2202059	C31H1.40	1
2981	2202190	C31H1.5	2
2982	2202451	C31H1.6	7
2983	2203362	C31H1.7	4
2984	2203883	C31H1.8	1
2985	2204014	C31H2.1	16
2986	2206095	C31H2.2	4
2987	2206616	C31H2.3	7
2988	2207527	C31H2.4	4
2989	2208048	C31H2.5	1
2990	2208179	C31H5.1	7
2991	2209090	C31H5.10	1
2992	2209221	C31H5.3	9
2993	2210392	C31H5.4	3
2994	2210783	C31H5.5	1
2995	2210914	C31H5.6	5
2996	2211565	C32A3.1	35
2997	2216116	C32A3.2	2
2998	2216377	C32A3.3	15
2999	2218328	C32A3.4	1
3000	2218459	C32A3.5	1
3001	2218590	C32A3.6	1
3002	2218721	C32A9.1	5
3003	2219372	C32A9.2	2
3004	2219633	C32A9.4	1
3005	2219764	C32A9.5	1
3006	2219895	C32B5.1	6
3007	2220676	C32B5.10	3
3008	2221067	C32B5.13	1
3009	2221198	C32B5.14	2
3010	2221459	C32B5.15	4
3011	2221980	C32B5.16	3
3012	2222371	C32B5.17	5
3013	2223022	C32B5.2	4
3014	2223543	C32B5.3	4
3015	2224064	C32B5.4	2
3016	2224325	C32B5.5	4
3017	2224846	C32B5.6	5
3018	2225497	C32B5.7	8
3019	2226538	C32B5.9	2
3020	2226799	C32C4.1	20
3021	2229400	C32C4.10	1
3022	2229531	C32C4.13	1
3023	2229662	C32C4.16	2
3024	2229923	C32C4.2	5
3025	2230574	C32C4.3	5
3026	2231225	C32C4.5	4
3027	2231746	C32C4.7	4
3028	2232267	C32D5.1	5
3029	2232918	C32D5.10	7
3030	2233829	C32D5.11	13
3031	2235520	C32D5.12	6
3032	2236301	C32D5.14	1
3033	2236432	C32D5.16	1
3034	2236563	C32D5.19	1
3035	2236694	C32D5.2	8
3036	2237735	C32D5.3	6
3037	2238516	C32D5.4	3
3038	2238907	C32D5.5	2
3039	2239168	C32D5.6	6
3040	2239949	C32D5.7	11
3041	2241380	C32D5.8	11
3042	2242811	C32D5.9	3
3043	2243202	C32E12.1	6
3044	2243983	C32E12.2	8
3045	2245024	C32E12.3	13
3046	2246715	C32E12.4	20
3047	2249316	C32E12.5	24
3048	2252437	C32E8.10	9
3049	2253608	C32E8.11	27
3050	2257119	C32E8.12	2
3051	2257380	C32E8.2	2
3052	2257641	C32E8.3	3
3053	2258032	C32E8.5	2
3054	2258293	C32E8.6	4
3055	2258814	C32E8.7	7
3056	2259725	C32E8.8	5
3057	2260376	C32E8.9	7
3058	2261287	C32F10.1	11
3059	2262718	C32F10.2	7
3060	2263629	C32F10.4	1
3061	2263760	C32F10.5	7
3062	2264671	C32F10.6	5
3063	2265322	C32F10.8	3
3064	2265713	C32H11.12	1
3065	2265844	C32H11.13	3
3066	2266235	C32H11.2	1
3067	2266366	C32H11.3	3
3068	2266757	C32H11.4	2
3069	2267018	C32H11.6	3
3070	2267409	C32H11.7	1
3071	2267540	C32H11.9	1
3072	2267671	C33A11.1	35
3073	2272222	C33A11.2	12
3074	2273783	C33A11.4	27
3075	2277294	C33A12.1	1
3076	2277425	C33A12.10	2
3077	2277686	C33A12.11	2
3078	2277947	C33A12.12	6
3079	2278728	C33A12.13	1
3080	2278859	C33A12.15	3
3081	2279250	C33A12.19	8
3082	2280291	C33A12.21	1
3083	2280422	C33A12.23	1
3084	2280553	C33A12.3	3
3085	2280944	C33A12.4	1
3086	2281075	C33A12.6	4
3087	2281596	C33A12.7	5
3088	2282247	C33A12.8	2
3089	2282508	C33B4.2	4
3090	2283029	C33B4.3	14
3091	2284850	C33B4.4	3
3092	2285241	C33C12.1	1
3093	2285372	C33C12.10	6
3094	2286153	C33C12.11	1
3095	2286284	C33C12.12	2
3096	2286545	C33C12.3	9
3097	2287716	C33C12.4	2
3098	2287977	C33C12.5	2
3099	2288238	C33C12.8	13
3100	2289929	C33C12.9	6
3101	2290710	C33D12.1	5
3102	2291361	C33D12.17	1
3103	2291492	C33D12.2	9
3104	2292663	C33D12.3	8
3105	2293704	C33D12.6	13
3106	2295395	C33D12.7	8
3107	2296436	C33D3.1	7
3108	2297347	C33D3.3	2
3109	2297608	C33D3.5	13
3110	2299299	C33D9.1	12
3111	2300860	C33D9.13	2
3112	2301121	C33D9.2	3
3113	2301512	C33D9.3	6
3114	2302293	C33D9.4	3
3115	2302684	C33D9.6	4
3116	2303205	C33D9.8	1
3117	2303336	C33E10.10	3
3118	2303727	C33E10.2	2
3119	2303988	C33E10.5	11
3120	2305419	C33E10.6	8
3121	2306460	C33E10.8	3
3122	2306851	C33F10.1	2
3123	2307112	C33F10.12	5
3124	2307763	C33F10.13	2
3125	2308024	C33F10.14	1
3126	2308155	C33F10.16	1
3127	2308286	C33F10.17	1
3128	2308417	C33F10.18	1
3129	2308548	C33F10.2	7
3130	2309459	C33F10.20	1
3131	2309590	C33F10.23	1
3132	2309721	C33F10.4	4
3133	2310242	C33F10.5	18
3134	2312583	C33F10.7	5
3135	2313234	C33F10.8	5
3136	2313885	C33F10.9	2
3137	2314146	C33G3.1	28
3138	2317787	C33G3.10	1
3139	2317918	C33G3.3	13
3140	2319609	C33G3.4	15
3141	2321560	C33G3.5	3
3142	2321951	C33G3.6	9
3143	2323122	C33G8.1	3
3144	2323513	C33G8.10	5
3145	2324164	C33G8.11	6
3146	2324945	C33G8.13	2
3147	2325206	C33G8.14	1
3148	2325337	C33G8.2	2
3149	2325598	C33G8.3	2
3150	2325859	C33G8.5	1
3151	2325990	C33G8.6	6
3152	2326771	C33G8.7	3
3153	2327162	C33G8.8	7
3154	2328073	C33G8.9	1
3155	2328204	C33H5.1	3
3156	2328595	C33H5.10	2
3157	2328856	C33H5.11	3
3158	2329247	C33H5.12	5
3159	2329898	C33H5.14	3
3160	2330289	C33H5.15	3
3161	2330680	C33H5.16	3
3162	2331071	C33H5.17	3
